customer_id,month,revenue
C185,2025-08,385.21
C103,2025-08,478.71
C197,2025-06,387.93
C129,2025-07,182.33
C125,2025-06,322.63
C179,2025-08,297.64
C181,2025-05,173.56
C155,2025-07,155.17
C172,2025-05,285.47
C103,2025-07,393.47
C165,2025-10,433.77
C114,2025-02,471.35
C166,2025-09,365.9
C198,2025-09,156.24
C187,2025-06,151.75
C154,2025-05,299.8
C143,2025-10,106.78
C173,2025-07,590.93
C128,2025-09,170.38
C198,2025-11,122.7
C121,2025-02,538.26
C108,2025-04,430.72
C104,2025-02,367.51
C119,2025-08,267.78
C114,2025-10,313.44
C200,2025-09,380.18
C164,2025-08,296.27
C169,2025-04,145.5
C174,2025-09,248.4
C147,2025-04,228.42
C132,2025-06,366.51
C152,2025-11,248.11
C186,2025-05,74.33
C103,2025-11,529.06
C154,2025-06,285.01
C106,2025-01,336.98
C178,2025-10,521.36
C203,2025-09,148.99
C142,2025-03,572.81
C201,2025-07,383.93
C179,2025-07,242.12
C144,2025-06,259.44
C117,2025-04,398.9
C194,2025-10,503.53
C138,2025-11,680.24
C113,2025-12,490.19
C101,2025-10,110.78
C154,2025-12,261.25
C160,2025-08,230.12
C106,2025-03,414.46
C182,2025-09,282.13
C109,2025-09,550.5
C203,2025-06,148.11
C152,2025-04,357.46
C111,2025-01,364.2
C134,2025-08,657.12
C144,2025-12,337.12
C154,2025-11,310.22
C177,2025-06,182.99
C114,2025-09,418.49
C188,2025-06,177.62
C145,2025-05,652.75
C187,2025-05,146.24
C158,2025-04,349.32
C125,2025-04,302.75
C117,2025-09,622.14
C133,2025-09,389.38
C175,2025-06,462.66
C144,2025-03,317.62
C172,2025-08,270.77
C114,2025-04,321.97
C127,2025-12,288.85
C202,2025-06,218.28
C101,2025-06,94.5
C132,2025-10,272.73
C156,2025-07,232.53
C148,2025-03,185.42
C132,2025-11,313.94
C172,2025-10,224.3
C188,2025-12,198.43
C157,2025-08,161.6
C128,2025-08,258.94
C166,2025-07,296.43
C103,2025-05,525.51
C144,2025-10,266.03
C195,2025-06,443.33
C111,2025-11,330.79
C111,2025-10,289.7
C121,2025-08,638.95
C189,2025-05,704.41
C105,2025-02,119.23
C111,2025-04,350.18
C195,2025-09,619.48
C172,2025-12,231.66
C180,2025-08,349.99
C177,2025-08,317.55
C126,2025-02,142.56
C127,2025-06,264.67
C170,2025-10,210.0
C160,2025-05,153.38
C109,2025-10,465.44
C145,2025-07,533.06
C155,2025-06,269.37
C188,2025-08,288.98
C186,2025-07,69.1
C134,2025-03,708.04
C103,2025-04,359.73
C180,2025-06,433.85
C161,2025-06,316.63
C169,2025-07,203.38
C105,2025-03,137.19
C127,2025-03,271.17
C162,2025-06,185.21
C120,2025-05,411.99
C119,2025-10,271.04
C147,2025-09,177.38
C201,2025-11,496.14
C111,2025-05,358.75
C198,2025-07,166.58
C125,2025-05,328.91
C193,2025-09,366.32
C131,2025-05,376.55
C170,2025-07,202.62
C133,2025-04,361.26
C164,2025-04,309.78
C121,2025-11,486.63
C106,2025-06,328.0
C146,2025-03,450.33
C120,2025-11,283.39
C203,2025-08,102.95
C133,2025-05,335.06
C153,2025-04,469.27
C191,2025-09,391.64
C114,2025-12,385.28
C105,2025-01,104.33
C164,2025-05,283.46
C141,2025-03,176.85
C150,2025-04,532.71
C103,2025-09,473.2
C130,2025-03,72.18
C199,2025-06,109.67
C107,2025-07,91.95
C143,2025-03,84.26
C142,2025-07,334.12
C190,2025-05,229.57
C142,2025-04,346.26
C138,2025-07,655.07
C120,2025-12,319.57
C134,2025-04,520.93
C119,2025-11,354.13
C109,2025-07,690.66
C155,2025-05,168.49
C160,2025-09,179.96
C129,2025-04,164.13
C107,2025-01,117.02
C171,2025-07,683.75
C149,2025-06,60.39
C118,2025-06,192.39
C179,2025-06,304.29
C131,2025-06,459.0
C111,2025-12,392.19
C138,2025-04,476.85
C125,2025-09,282.27
C119,2025-07,329.43
C165,2025-08,269.32
C120,2025-06,409.61
C152,2025-12,311.08
C127,2025-08,267.4
C115,2025-08,532.05
C199,2025-10,103.28
C172,2025-11,341.23
C192,2025-07,230.12
C148,2025-05,161.7
C130,2025-05,77.43
C138,2025-03,574.77
C182,2025-06,282.24
C106,2025-07,350.14
C136,2025-07,227.97
C182,2025-10,259.73
C165,2025-07,353.76
C157,2025-12,243.9
C181,2025-06,247.97
C115,2025-03,446.67
C176,2025-10,245.88
C167,2025-04,198.96
C178,2025-06,380.9
C157,2025-10,215.48
C154,2025-08,237.65
C159,2025-10,235.2
C108,2025-03,326.87
C144,2025-07,263.32
C103,2025-03,339.28
C172,2025-06,316.78
C113,2025-11,598.94
C160,2025-12,219.92
C203,2025-12,113.35
C198,2025-06,154.2
C169,2025-05,180.29
C128,2025-03,201.3
C176,2025-09,365.04
C127,2025-05,214.72
C199,2025-08,117.19
C159,2025-08,208.42
C134,2025-07,447.58
C147,2025-11,217.17
C110,2025-02,484.06
C169,2025-08,155.92
C103,2025-01,556.31
C203,2025-07,104.53
C165,2025-04,356.18
C173,2025-08,447.25
C165,2025-05,324.07
C189,2025-07,531.43
C145,2025-09,437.53
C192,2025-09,265.37
C148,2025-04,264.79
C107,2025-04,86.16
C188,2025-05,277.59
C199,2025-11,91.64
C171,2025-08,534.59
C166,2025-11,388.62
C129,2025-06,156.98
C133,2025-10,389.82
C138,2025-10,446.8
C117,2025-07,616.42
C105,2025-04,112.36
C113,2025-03,603.18
C101,2025-09,113.89
C194,2025-12,298.98
C107,2025-03,75.82
C128,2025-02,188.44
C179,2025-09,181.85
C147,2025-12,213.22
C134,2025-05,482.05
C180,2025-09,401.85
C113,2025-07,426.77
C165,2025-09,248.28
C175,2025-07,350.29
C166,2025-04,430.67
C181,2025-08,182.03
C163,2025-10,88.75
C117,2025-03,527.56
C143,2025-05,124.58
C106,2025-05,549.8
C180,2025-07,516.17
C159,2025-09,212.49
C121,2025-07,646.5
C177,2025-05,183.62
C165,2025-12,419.41
C144,2025-04,257.74
C159,2025-11,273.7
C185,2025-07,316.21
C101,2025-02,96.18
C113,2025-10,382.29
C143,2025-07,93.91
C147,2025-08,189.68
C131,2025-04,353.79
C124,2025-03,428.15
C121,2025-04,474.37
C120,2025-04,358.5
C200,2025-11,397.61
C164,2025-11,300.55
C192,2025-10,255.72
C104,2025-03,349.11
C193,2025-07,466.37
C197,2025-12,552.89
C202,2025-07,164.36
C138,2025-09,478.85
C149,2025-03,97.71
C166,2025-12,302.22
C202,2025-09,206.3
C139,2025-04,337.73
C134,2025-09,600.71
C185,2025-05,372.37
C114,2025-07,452.52
C119,2025-03,436.83
C152,2025-10,349.21
C118,2025-11,119.21
C163,2025-04,94.67
C162,2025-07,133.93
C185,2025-10,422.34
C123,2025-02,686.97
C107,2025-02,103.96
C147,2025-03,261.09
C181,2025-07,180.43
C176,2025-11,333.27
C189,2025-06,576.35
C143,2025-04,122.55
C101,2025-07,88.56
C120,2025-10,231.89
C179,2025-10,235.6
C129,2025-08,170.66
C138,2025-12,614.73
C180,2025-05,372.64
C170,2025-06,128.67
C113,2025-05,550.78
C200,2025-10,235.64
C128,2025-10,154.24
C202,2025-12,148.97
C135,2025-03,452.68
C140,2025-04,331.44
C132,2025-07,274.79
C144,2025-11,295.6
C150,2025-03,444.3
C121,2025-06,634.69
C203,2025-11,163.5
C103,2025-10,487.87
C188,2025-11,262.39
C109,2025-02,587.66
C194,2025-08,435.07
C173,2025-09,610.26
C177,2025-07,260.45
C106,2025-11,510.26
C191,2025-06,373.66
C188,2025-10,266.4
C134,2025-10,689.45
C136,2025-06,212.0
C101,2025-12,81.24
C106,2025-09,495.28
C119,2025-05,441.57
C155,2025-08,150.44
C164,2025-06,335.1
C182,2025-05,350.55
C197,2025-08,582.49
C114,2025-08,274.95
C174,2025-07,218.37
C193,2025-11,411.72
C166,2025-10,461.8
C199,2025-12,105.52
C127,2025-09,218.46
C156,2025-04,398.71
C145,2025-06,448.33
C117,2025-10,645.66
C135,2025-04,290.57
C169,2025-12,227.43
C160,2025-11,131.34
C136,2025-08,280.26
C142,2025-06,437.84
C178,2025-11,404.7
C153,2025-05,598.44
C162,2025-08,134.26
C120,2025-02,365.58
C120,2025-07,408.79
C119,2025-02,417.66
C125,2025-03,287.37
C111,2025-02,339.9
C111,2025-03,322.09
C169,2025-10,181.14
C188,2025-09,183.17
C113,2025-02,582.44
C165,2025-11,244.9
C117,2025-06,385.98
C190,2025-06,178.9
C155,2025-04,261.57
C173,2025-05,560.19
C120,2025-03,366.0
C118,2025-03,113.99
C186,2025-08,83.26
C129,2025-02,167.63
C178,2025-08,345.63
C101,2025-04,97.4
C135,2025-05,450.73
C185,2025-09,307.75
C200,2025-08,243.72
C160,2025-04,204.52
C198,2025-08,196.61
C147,2025-06,249.69
C122,2025-02,180.69
C134,2025-06,493.87
C121,2025-09,569.36
C115,2025-02,521.62
C194,2025-06,410.51
C107,2025-08,122.66
C159,2025-12,196.03
C155,2025-11,236.83
C149,2025-05,98.03
C171,2025-09,563.35
C144,2025-08,341.52
C169,2025-11,227.9
C163,2025-07,118.52
C103,2025-06,605.43
C114,2025-11,437.41
C185,2025-06,301.92
C128,2025-04,242.83
C115,2025-04,395.16
C118,2025-05,134.5
C113,2025-04,590.27
C152,2025-06,243.61
C128,2025-06,259.43
C154,2025-09,300.05
C135,2025-06,304.35
C115,2025-05,606.48
C145,2025-08,429.36
C120,2025-09,387.82
C201,2025-09,457.49
C180,2025-12,323.36
C139,2025-06,356.18
C130,2025-02,114.61
C172,2025-09,193.06
C138,2025-06,441.46
C153,2025-06,485.2
C161,2025-04,253.22
C157,2025-09,236.18
C149,2025-04,59.71
C129,2025-05,150.45
C118,2025-08,134.65
C118,2025-09,192.16
C122,2025-03,202.13
C156,2025-06,226.7
C134,2025-12,502.17
C139,2025-03,247.69
C114,2025-05,428.14
C166,2025-05,312.86
C118,2025-07,113.57
C103,2025-02,490.97
C175,2025-05,360.07
C109,2025-01,526.12
C187,2025-07,150.32
C118,2025-12,152.43
C113,2025-09,524.36
C117,2025-12,649.89
C202,2025-08,154.12
C165,2025-06,371.22
C101,2025-11,118.15
C166,2025-08,442.0
C125,2025-11,419.18
C119,2025-09,349.44
C170,2025-04,159.93
C194,2025-11,319.69
C177,2025-09,224.56
C157,2025-06,167.93
C152,2025-09,293.22
C115,2025-06,498.97
C174,2025-11,317.43
C163,2025-08,88.77
